From	To	Species	Gene Name
ENSG00000215203	389207	Homo sapiens	glutaredoxin and cysteine rich domain containing 1(GRXCR1)
ENSG00000179029	84314	Homo sapiens	transmembrane protein 107(TMEM107)
ENSG00000179023	127707	Homo sapiens	kelch domain containing 7A(KLHDC7A)
ENSG00000180011	284273	Homo sapiens	prostaglandin reductase 3(PTGR3)
ENSG00000131089	23229	Homo sapiens	Cdc42 guanine nucleotide exchange factor 9(ARHGEF9)
ENSG00000170689	3219	Homo sapiens	homeobox B9(HOXB9)
ENSG00000013810	10460	Homo sapiens	transforming acidic coiled-coil containing protein 3(TACC3)
ENSG00000205884	613210	Homo sapiens	defensin beta 136(DEFB136)
ENSG00000131080	60401	Homo sapiens	ectodysplasin A2 receptor(EDA2R)
ENSG00000168374	378	Homo sapiens	ADP ribosylation factor 4(ARF4)
ENSG00000179021	285237	Homo sapiens	chromosome 3 open reading frame 38(C3orf38)
ENSG00000156381	122416	Homo sapiens	ankyrin repeat domain 9(ANKRD9)
ENSG00000182685	283870	Homo sapiens	BRICHOS domain containing 5(BRICD5)
ENSG00000182687	8811	Homo sapiens	galanin receptor 2(GALR2)
ENSG00000143079	55917	Homo sapiens	CTTNBP2 N-terminal like(CTTNBP2NL)
ENSG00000180008	122809	Homo sapiens	suppressor of cytokine signaling 4(SOCS4)
ENSG00000025800	23633	Homo sapiens	karyopherin subunit alpha 6(KPNA6)
ENSG00000143061	3321	Homo sapiens	immunoglobulin superfamily member 3(IGSF3)
ENSG00000156374	84108	Homo sapiens	polycomb group ring finger 6(PCGF6)
ENSG00000131096	5697	Homo sapiens	peptide YY(PYY)
ENSG00000181350	388341	Homo sapiens	leucine rich repeat containing 75A(LRRC75A)
ENSG00000131095	2670	Homo sapiens	glial fibrillary acidic protein(GFAP)
ENSG00000131097	51751	Homo sapiens	HIG1 hypoxia inducible domain family member 1B(HIGD1B)
ENSG00000168389	84879	Homo sapiens	MFSD2 lysolipid transporter A, lysophospholipid(MFSD2A)
ENSG00000131094	10882	Homo sapiens	complement C1q like 1(C1QL1)
ENSG00000182670	7267	Homo sapiens	tetratricopeptide repeat domain 3(TTC3)
ENSG00000168386	11259	Homo sapiens	filamin A interacting protein 1 like(FILIP1L)
ENSG00000144395	284992	Homo sapiens	coiled-coil domain containing 150(CCDC150)
ENSG00000143067	90874	Homo sapiens	zinc finger protein 697(ZNF697)
ENSG00000182676	116729	Homo sapiens	protein phosphatase 1 regulatory subunit 27(PPP1R27)
ENSG00000180035	197407	Homo sapiens	zinc finger protein 48(ZNF48)
ENSG00000155034	80028	Homo sapiens	F-box and leucine rich repeat protein 18(FBXL18)
ENSG00000179044	283849	Homo sapiens	exocyst complex component 3 like 1(EXOC3L1)
ENSG00000118094	11181	Homo sapiens	trehalase(TREH)
ENSG00000179046	205860	Homo sapiens	tripartite motif family like 2(TRIML2)
ENSG00000157693	203197	Homo sapiens	transmembrane protein 268(TMEM268)
ENSG00000168394	6890	Homo sapiens	transporter 1, ATP binding cassette subfamily B member(TAP1)
ENSG00000118096	56912	Homo sapiens	intraflagellar transport 46(IFT46)
ENSG00000132394	60678	Homo sapiens	eukaryotic elongation factor, selenocysteine-tRNA specific(EEFSEC)
ENSG00000168395	84289	Homo sapiens	inhibitor of growth family member 5(ING5)
ENSG00000168393	1841	Homo sapiens	deoxythymidylate kinase(DTYMK)
ENSG00000131067	2686	Homo sapiens	gamma-glutamyltransferase 7(GGT7)
ENSG00000131069	55902	Homo sapiens	acyl-CoA synthetase short chain family member 2(ACSS2)
ENSG00000204536	54535	Homo sapiens	coiled-coil alpha-helical rod protein 1(CCHCR1)
ENSG00000204538	170680	Homo sapiens	psoriasis susceptibility 1 candidate 2(PSORS1C2)
ENSG00000012504	9971	Homo sapiens	nuclear receptor subfamily 1 group H member 4(NR1H4)
ENSG00000168398	624	Homo sapiens	bradykinin receptor B2(BDKRB2)
ENSG00000205863	387911	Homo sapiens	C1q and TNF related 9B(C1QTNF9B)
ENSG00000204531	5460	Homo sapiens	POU class 5 homeobox 1(POU5F1)
ENSG00000167065	150290	Homo sapiens	dual specificity phosphatase 18(DUSP18)
ENSG00000131061	84905	Homo sapiens	zinc finger protein 341(ZNF341)
ENSG00000168397	23192	Homo sapiens	autophagy related 4B cysteine peptidase(ATG4B)
ENSG00000204539	1041	Homo sapiens	corneodesmosin(CDSN)
ENSG00000179059	132625	Homo sapiens	ZFP42 zinc finger protein(ZFP42)
ENSG00000155026	222967	Homo sapiens	radial spoke head 10 homolog B(RSPH10B)
ENSG00000181378	255101	Homo sapiens	cilia and flagella associated protein 65(CFAP65)
ENSG00000180044	401097	Homo sapiens	chromosome 3 open reading frame 80(C3orf80)
ENSG00000179055	286365	Homo sapiens	olfactory receptor family 13 subfamily D member 1(OR13D1)
ENSG00000180043	284418	Homo sapiens	golgi associated RAB2 interactor family member 5B(GARIN5B)
ENSG00000180042	9596	Homo sapiens	olfactory receptor family 1 subfamily R member 1 pseudogene(OR1R1P)
ENSG00000167074	7008	Homo sapiens	TEF transcription factor, PAR bZIP family member(TEF)
ENSG00000181371	219484	Homo sapiens	olfactory receptor family 5 subfamily M member 8(OR5M8)
ENSG00000230873	401236	Homo sapiens	stathmin domain containing 1(STMND1)
ENSG00000157680	9162	Homo sapiens	diacylglycerol kinase iota(DGKI)
ENSG00000167077	150365	Homo sapiens	meiotic double-stranded break formation protein 1(MEI1)
ENSG00000179051	55920	Homo sapiens	regulator of chromosome condensation 2(RCC2)
ENSG00000182698	389075	Homo sapiens	regulated endocrine specific protein 18(RESP18)
ENSG00000155016	113612	Homo sapiens	cytochrome P450 family 2 subfamily U member 1(CYP2U1)
ENSG00000156345	23552	Homo sapiens	cyclin dependent kinase 20(CDK20)
ENSG00000155011	27123	Homo sapiens	dickkopf WNT signaling pathway inhibitor 2(DKK2)
ENSG00000180053	137814	Homo sapiens	NK2 homeobox 6(NKX2-6)
ENSG00000167083	2793	Homo sapiens	G protein subunit gamma transducin 2(GNGT2)
ENSG00000131043	25980	Homo sapiens	AAR2 splicing factor(AAR2)
ENSG00000131042	10288	Homo sapiens	leukocyte immunoglobulin like receptor B2(LILRB2)
ENSG00000204590	2794	Homo sapiens	G protein nucleolar 1 (putative)(GNL1)
ENSG00000167081	5090	Homo sapiens	PBX homeobox 3(PBX3)
ENSG00000132376	51763	Homo sapiens	inositol polyphosphate-5-phosphatase K(INPP5K)
ENSG00000131044	164395	Homo sapiens	tubulin tyrosine ligase like 9(TTLL9)
ENSG00000167080	124872	Homo sapiens	beta-1,4-N-acetyl-galactosaminyltransferase 2(B4GALNT2)
ENSG00000144369	165215	Homo sapiens	family with sequence similarity 171 member B(FAM171B)
ENSG00000106080	55033	Homo sapiens	FKBP prolyl isomerase 14(FKBP14)
ENSG00000167088	6632	Homo sapiens	small nuclear ribonucleoprotein D1 polypeptide(SNRPD1)
ENSG00000144362	493911	Homo sapiens	phosphatase, orphan 2(PHOSPHO2)
ENSG00000143032	343472	Homo sapiens	BarH like homeobox 2(BARHL2)
